,Unnamed: 0,Unnamed: 1,Week to Date,Unnamed: 3,Unnamed: 4,      28 Day,Unnamed: 6,Unnamed: 7,      Year to Date*,Unnamed: 9,Unnamed: 10,     2 Year   ,14 Year (2010),31 Year (1993)
0, ,,2024,2023.0,% Chg,2024.0,2023,% Chg,2024,2023,% Chg,% Chg,% Chg,% Chg
1,Murder,,0,0.0,***.*,0.0,0,***.*,0,0,***.*,-100,-100,-100
2,Rape,,1,0.0,***.*,2.0,0,***.*,14,7,100,0,55.555555555555,27.272727272727
3,Robbery,,9,9.0,0,38.0,32,18.75,165,126,30.952380952381,54.205607476635,13.013698630137,-70.05444646098
4,Fel. Assault,,14,9.0,55.555555555555,54.0,41,31.70731707317,247,209,18.181818181818,22.885572139303,85.714285714285,45.294117647058
5,Burglary,,3,4.0,-25,20.0,17,17.647058823529,97,67,44.776119402985,42.647058823529,-31.69014084507,-89.581095596133
6,Gr. Larceny,,21,21.0,0,65.0,62,4.838709677419,382,346,10.404624277456,-13.378684807256,97.927461139896,-34.923339011925
7,G.L.A.,,9,6.0,50,28.0,17,64.705882352941,132,134,-1.492537313432,21.100917431192,25.714285714285,-86.221294363256
8,TOTAL,,57,49.0,16.326530612244,207.0,169,22.485207100591,1037,889,16.647919010123,10.084925690021,42.249657064471,-67.744945567651
9,Transit,,0,4.0,-100,8.0,13,-38.461538461538,29,52,-44.230769230769,61.111111111111,81.25,***.*
10,Housing,,0,0.0,***.*,0.0,0,***.*,0,0,***.*,***.*,***.*,***.*
11,Petit Larceny,,32,32.0,0,131.0,133,-1.503759398496,999,891,12.121212121212,26.776649746192,113.918629550321,***.*
12,Retail Theft,,16,14.0,14.285714285714,66.0,72,-8.333333333333,558,477,16.981132075471,25.675675675675,***.*,***.*
13,Misd. Assault,,22,16.0,37.5,105.0,71,47.887323943662,550,384,43.229166666666,37.5,39.240506329113,***.*
14,UCR Rape*,,1,2.0,-50,2.0,5,-60,24,21,14.285714285714,9.090909090909,***.*,***.*
15,Other Sex Crimes,,5,2.0,150,13.0,12,8.333333333333,66,64,3.125,57.142857142857,***.*,***.*
16,Shooting Vic.,,2,0.0,***.*,2.0,0,***.*,2,2,0,-66.666666666666,-33.333333333333,-92.592592592592
17,Shooting Inc.,,1,0.0,***.*,1.0,0,***.*,1,2,-50,-80,-50,-96.153846153846
18,Hate Crimes,,0,0.0,***.*,0.0,0,***.*,4,4,0,100,***.*,***.*
19,Traffic Statistics,,,,,,,,,,,,,
20,Traffic Fatalities,,0,0.0,***.*,0.0,0,***.*,4,3,33.333333333333,300,***.*,***.*
21,,,,,,,,,,,,,,
22,Historical Perspective,,,,,,,,,,,,,
23,(Historical perspective is a complete calendar year of data.),,,,,,,,,,,,,
24,,, ,, ,, ,, , ,%Chg  ,%Chg  ,%Chg  ,%Chg  
25,,,1990,,1993,,1998,,2001,2023,'23 vs '01,'23 vs '98,'23 vs '93,'23 vs '90
26,Murder,,28,,21,,13,,5,4,-20,-69.230769230769,-80.95238095238,-85.714285714285
27,Rape,,39,,36,,22,,24,27,12.5,22.727272727272,-25,-30.76923076923
28,Robbery,,1567,,1316,,609,,435,365,-16.091954022988,-40.065681444991,-72.264437689969,-76.707083599234
29,Fel. Assault,,527,,424,,376,,311,481,54.662379421221,27.925531914893,13.443396226415,-8.728652751423
30,Burglary,,2060,,1979,,829,,503,136,-72.962226640159,-83.594692400482,-93.127842344618,-93.398058252427
31,Gr. Larceny,,2413,,1432,,982,,875,863,-1.371428571428,-12.118126272912,-39.734636871508,-64.235391628678
32,G.L.A.,,2832,,2214,,791,,606,337,-44.389438943894,-57.395701643489,-84.778681120144,-88.100282485875
33,TOTAL,,9466,,7422,,3622,,2759,2213,-19.7897789054,-38.901159580342,-70.183239019132,-76.621593069934
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,Figures are preliminary and subject to further analysis and revision.,,,,,,,,,,,,,
37,"As of January 2013, complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the ",,,,,,,,,,,,,
38,borough and precinct crime totals and are displayed separately on the Department of Correction CompStat page.,,,,,,,,,,,,,
39,"Unless otherwise noted, Crime statistics reflect New York State Penal Law (""NYSPL"") definitions and differ from the crime categories used ",,,,,,,,,,,,,
40,by the FBI Uniform Crime Reporting Program. All Crime statistics are translated to Uniform Crime Reporting categories for submission to ,,,,,,,,,,,,,
41,the UCR Program.,,,,,,,,,,,,,
42,"* Uniform Crime Reporting (""UCR"") Rape consists of all crimes defined in the FBI UCR definition of rape.",,,,,,,,,,,,,
43,Prepared by,,,,,,,,,,CompStat,,,
44,NYPD CompStat Unit,,,,,,,,,,,,,
