Precinct,Borough,Neighborhoods
1,Manhattan,"Battery Park, Tribeca"
5,Manhattan,"Lower East Side, Chinatown"
6,Manhattan,"Greenwich Village, Soho"
7,Manhattan,"Lower East Side, Chinatown"
9,Manhattan,"Lower East Side, Chinatown"
10,Manhattan,"Chelsea, Clinton"
13,Manhattan,"Stuyvesant Town, Turtle Bay"
14,Manhattan,Midtown Business District
17,Manhattan,"Stuyvesant Town, Turtle Bay"
18,Manhattan,"Chelsea, Clinton"
19,Manhattan,Upper East Side
20,Manhattan,"West Side, Upper West Side"
22,Manhattan,Central Park
23,Manhattan,East Harlem
24,Manhattan,"West Side, Upper West Side"
25,Manhattan,East Harlem
26,Manhattan,"Manhattanville, Hamilton Heights"
28,Manhattan,Central Harlem
30,Manhattan,"Manhattanville, Hamilton Heights"
32,Manhattan,Central Harlem
33,Manhattan,"Washington Heights, Inwood"
34,Manhattan,"Washington Heights, Inwood"
40,The Bronx,"Melrose, Mott Haven, Port Morris"
41,The Bronx,"Hunts Point, Longwood"
42,The Bronx,"Morrisania, Crotona Park East"
43,The Bronx,"Soundview, Parkchester"
44,The Bronx,"Highbridge, Concourse Village"
45,The Bronx,"Throgs Neck, Co-op City, Pelham Bay"
46,The Bronx,"University Heights, Fordham, Mt. Hope"
47,The Bronx,"Wakefield, Williamsbridge"
48,The Bronx,"East Tremont, Belmont"
49,The Bronx,"Pelham Parkway, Morris Park, Laconia"
50,The Bronx,"Riverdale, Kingsbridge, Marble Hill"
52,The Bronx,"Bedford Park, Norwood, Fordham"
60,Brooklyn,"Coney Island, Brighton Beach"
61,Brooklyn,"Sheepshead Bay, Gerritsen Beach"
62,Brooklyn,"Bensonhurst, Bath Beach"
63,Brooklyn,"Canarsie, Flatlands"
66,Brooklyn,"Borough Park, Ocean Parkway"
67,Brooklyn,"East Flatbush, Rugby, Farragut"
68,Brooklyn,"Bay Ridge, Dyker Heights"
69,Brooklyn,"Canarsie, Flatlands"
70,Brooklyn,"Flatbush, Midwood"
71,Brooklyn,"Crown Heights South, Wingate"
72,Brooklyn,"Sunset Park, Windsor Terrace"
73,Brooklyn,"Brownsville, Ocean Hill"
75,Brooklyn,"East New York, Starrett City"
76,Brooklyn,"Park Slope, Carroll Gardens"
77,Brooklyn,Crown Heights North
78,Brooklyn,"Park Slope, Carroll Gardens"
79,Brooklyn,Bedford Stuyvesant
81,Brooklyn,Bedford Stuyvesant
83,Brooklyn,Bushwick
84,Brooklyn,"Brooklyn Heights, Fort Greene"
88,Brooklyn,"Brooklyn Heights, Fort Greene"
90,Brooklyn,"Williamsburg, Greenpoint"
94,Brooklyn,"Williamsburg, Greenpoint"
100,Queens,"The Rockaways, Broad Channel"
101,Queens,"The Rockaways, Broad Channel"
102,Queens,"Woodhaven, Richmond Hill"
103,Queens,"Jamaica, St. Albans, Hollis"
104,Queens,"Ridgewood, Glendale, Maspeth"
105,Queens,"Queens Village, Rosedale"
106,Queens,"Ozone Park, Howard Beach"
107,Queens,"Fresh Meadows, Briarwood"
108,Queens,"Sunnyside, Woodside"
109,Queens,"Flushing, Bay Terrace"
110,Queens,"Elmhurst, South Corona"
111,Queens,"Bayside, Douglaston, Little Neck"
112,Queens,"Forest Hills, Rego Park"
113,Queens,"Jamaica, St. Albans, Hollis"
114,Queens,"Astoria, Long Island City"
115,Queens,"Jackson heights, North Corona"
120,Staten Island,"Stapleton, Port Richmond"
122,Staten Island,"New Springville, South Beach"
123,Staten Island,"Tottenville, Woodrow, Great Kills"
